contractSymbol,Expiration Date,ETF,Stock Price,lastPrice,bid,ask,strike,ROI (%),OTM (%),volume,openInterest,Implied Volatility,highPrice,Original Stock Price,Original ROI (%),Original OTM (%),Original Implied Volatility,50-day MA,100-day MA,200-day MA,RSI,MACD,VWAP,Delta,Gamma,Theta,Vega,Rho,52WeekHigh,52WeekLow,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey
GPS231208P00020000,2023-12-08,GPS,20.78,0.08,0.07,0.12,20.0,0.35,3.75,1946.0,1240.0,0.53,0.07,20.78,0.35,3.75,0.53,13.9,12.06,10.64,90.43,2.13,11.16,-0.16,0.3,-18.12,0.37,-0.02,21.02,7.19,22.0,8.0,16.12,16.0,2.9,hold
GPS231208P00020500,2023-12-08,GPS,20.78,0.2,0.21,0.23,20.5,1.03,1.35,504.0,283.0,0.47,0.21,20.78,1.03,1.35,0.47,13.9,12.06,10.64,90.43,2.13,11.16,-0.34,0.51,-24.29,0.56,-0.04,21.02,7.19,22.0,8.0,16.12,16.0,2.9,hold
GSAT231208P00001500,2023-12-08,GSAT,1.51,0.02,0.01,0.04,1.5,0.67,0.66,2.0,8.0,0.56,0.01,1.51,0.67,0.66,0.56,1.37,1.29,1.19,67.65,0.05,1.25,-0.43,6.24,-2.24,0.04,-0.0,1.77,0.87,7.77,0.99,4.13,3.88,2.2,buy
HE231208P00013000,2023-12-08,HE,13.23,0.15,0.05,0.15,13.0,0.39,1.74,89.0,1035.0,0.52,0.05,13.23,0.39,1.74,0.52,12.68,17.66,27.18,61.83,-0.03,16.06,-0.32,0.7,-16.64,0.35,-0.02,41.6,9.66,8.5,7.0,7.5,7.0,3.7,underperform
HOOD231208P00009000,2023-12-08,HOOD,10.53,0.02,0.01,0.02,9.0,0.11,14.53,2061.0,3913.0,1.0,0.01,10.53,0.11,14.53,1.0,9.11,10.13,9.82,77.51,0.12,9.87,-0.02,0.05,-2.76,0.03,-0.0,13.12,7.7,23.0,9.0,11.57,10.41,3.0,hold
HOOD231208P00009500,2023-12-08,HOOD,10.53,0.02,0.02,0.04,9.5,0.21,9.78,2452.0,1122.0,0.83,0.02,10.53,0.21,9.78,0.83,9.11,10.13,9.82,77.51,0.12,9.87,-0.04,0.14,-5.43,0.07,-0.0,13.12,7.7,23.0,9.0,11.57,10.41,3.0,hold
HOOD231208P00010000,2023-12-08,HOOD,10.53,0.1,0.08,0.09,10.0,0.81,5.03,3576.0,140.0,0.73,0.08,10.53,0.81,5.03,0.73,9.11,10.13,9.82,77.51,0.12,9.87,-0.16,0.43,-12.9,0.19,-0.01,13.12,7.7,23.0,9.0,11.57,10.41,3.0,hold
HOOD231208P00010500,2023-12-08,HOOD,10.53,0.31,0.3,0.31,10.5,2.94,0.28,2295.0,234.0,0.84,0.3,10.53,2.94,0.28,0.84,9.11,10.13,9.82,77.51,0.12,9.87,-0.47,0.61,-23.71,0.31,-0.03,13.12,7.7,23.0,9.0,11.57,10.41,3.0,hold
HUT231208P00002000,2023-12-08,HUT,11.4,0.06,0.05,0.06,2.0,2.56,82.46,1543.0,1653.0,10.5,0.05,11.4,2.56,82.46,10.5,10.14,11.9,11.21,64.74,0.04,11.24,-0.0,0.0,-10.21,0.01,-0.0,22.35,3.94,4.76,2.0,3.06,2.75,2.7,hold
HUT231208P00002500,2023-12-08,HUT,11.4,0.34,0.32,0.35,2.5,14.68,78.07,298.0,76.0,14.0,0.32,11.4,14.68,78.07,14.0,10.14,11.9,11.21,64.74,0.04,11.24,-0.02,0.0,-60.28,0.05,-0.0,22.35,3.94,4.76,2.0,3.06,2.75,2.7,hold
IQ231208P00004000,2023-12-08,IQ,4.41,0.02,0.01,0.03,4.0,0.25,9.3,1.0,17.0,0.91,0.01,4.41,0.25,9.3,0.91,4.75,4.99,5.52,32.52,-0.1,5.66,-0.07,0.45,-3.55,0.04,-0.0,7.73,3.17,12.08,5.03,6.98,6.97,1.9,buy
IVR231208P00007500,2023-12-08,IVR,8.28,0.01,0.01,0.04,7.5,0.13,9.42,1.0,69.0,0.81,0.01,8.28,0.13,9.42,0.81,7.99,9.31,9.69,67.2,0.08,9.87,-0.05,0.2,-4.45,0.06,-0.0,13.71,6.39,15.0,7.5,11.25,11.25,3.2,hold
IVR231208P00008000,2023-12-08,IVR,8.28,0.04,0.03,0.08,8.0,0.38,3.38,680.0,1850.0,0.53,0.03,8.28,0.38,3.38,0.53,7.99,9.31,9.69,67.2,0.08,9.87,-0.19,0.82,-7.92,0.16,-0.01,13.71,6.39,15.0,7.5,11.25,11.25,3.2,hold
JBLU231208P00004000,2023-12-08,JBLU,4.65,0.01,0.01,0.03,4.0,0.25,13.98,400.0,2855.0,1.25,0.01,4.65,0.25,13.98,1.25,4.37,5.35,6.42,56.85,0.07,6.44,-0.05,0.23,-3.85,0.03,-0.0,9.33,3.69,6.0,3.0,4.58,4.0,3.3,hold
JBLU231208P00004500,2023-12-08,JBLU,4.65,0.09,0.09,0.11,4.5,2.04,3.23,924.0,3757.0,0.99,0.09,4.65,2.04,3.23,0.99,4.37,5.35,6.42,56.85,0.07,6.44,-0.31,1.04,-11.04,0.12,-0.01,9.33,3.69,6.0,3.0,4.58,4.0,3.3,hold
KEY231208P00012500,2023-12-08,KEY,12.94,0.1,0.05,0.1,12.5,0.4,3.4,267.0,129.0,0.5,0.05,12.94,0.4,3.4,0.5,10.89,10.96,11.01,68.54,0.6,11.64,-0.17,0.53,-11.19,0.24,-0.01,18.73,8.44,16.0,10.0,12.76,13.0,2.3,buy
LCID231208P00004000,2023-12-08,LCID,4.19,0.05,0.05,0.06,4.0,1.27,4.53,1248.0,6562.0,0.86,0.05,4.19,1.27,4.53,0.86,4.57,5.48,6.48,50.86,-0.06,7.1,-0.22,1.12,-7.25,0.09,-0.01,12.87,3.76,7.0,3.0,5.06,5.0,3.1,hold
LUMN231208P00001500,2023-12-08,LUMN,1.55,0.03,0.03,0.04,1.5,2.04,3.23,104.0,573.0,1.03,0.03,1.55,2.04,3.23,1.03,1.33,1.49,1.94,65.43,0.04,2.74,-0.32,3.02,-3.85,0.04,-0.0,6.04,0.98,5.0,1.0,1.85,1.5,3.7,underperform
MPW231208P00004500,2023-12-08,MPW,5.12,0.01,0.02,0.04,4.5,0.45,12.11,341.0,16365.0,1.19,0.02,5.12,0.45,12.11,1.19,4.91,6.36,7.33,60.68,0.04,8.06,-0.07,0.28,-5.21,0.05,-0.0,12.6,4.08,15.0,4.0,7.0,6.0,3.1,hold
MPW231208P00005000,2023-12-08,MPW,5.12,0.16,0.14,0.16,5.0,2.88,2.34,1199.0,1978.0,1.12,0.14,5.12,2.88,2.34,1.12,4.91,6.36,7.33,60.68,0.04,8.06,-0.37,0.89,-14.58,0.14,-0.01,12.6,4.08,15.0,4.0,7.0,6.0,3.1,hold
NU231208P00008000,2023-12-08,NU,8.21,0.05,0.03,0.05,8.0,0.38,2.56,172.0,2242.0,0.44,0.03,8.21,0.38,2.56,0.44,7.94,7.69,6.78,35.1,0.05,6.34,-0.21,1.07,-6.91,0.17,-0.01,8.83,3.48,16.0,4.5,9.88,10.0,2.4,buy
NVAX231208P00004500,2023-12-08,NVAX,5.59,0.02,0.02,0.03,4.5,0.45,19.5,260.0,490.0,1.66,0.02,5.59,0.45,19.5,1.66,6.51,7.25,7.45,34.74,-0.3,8.47,-0.03,0.11,-4.67,0.03,-0.0,17.32,5.35,38.0,5.0,19.6,12.0,2.7,hold
NVAX231208P00005000,2023-12-08,NVAX,5.59,0.05,0.02,0.08,5.0,0.4,10.55,26.0,3420.0,1.23,0.02,5.59,0.4,10.55,1.23,6.51,7.25,7.45,34.74,-0.3,8.47,-0.1,0.35,-8.33,0.07,-0.0,17.32,5.35,38.0,5.0,19.6,12.0,2.7,hold
NVAX231208P00005500,2023-12-08,NVAX,5.59,0.14,0.15,0.24,5.5,2.8,1.61,583.0,1821.0,1.19,0.15,5.59,2.8,1.61,1.19,6.51,7.25,7.45,34.74,-0.3,8.47,-0.41,0.79,-17.4,0.16,-0.01,17.32,5.35,38.0,5.0,19.6,12.0,2.7,hold
OPEN231208P00003000,2023-12-08,OPEN,3.38,0.02,0.02,0.03,3.0,0.67,11.24,311.0,1470.0,1.22,0.02,3.38,0.67,11.24,1.22,2.44,3.07,2.65,83.03,0.26,2.42,-0.09,0.51,-4.35,0.04,-0.0,5.27,0.97,4.5,1.0,2.52,2.2,2.9,hold
PBR231208P00014000,2023-12-08,PBR,14.65,0.04,0.03,0.04,14.0,0.21,4.44,216.0,953.0,0.45,0.03,14.65,0.21,4.44,0.45,14.85,14.19,12.18,36.57,0.04,11.16,-0.09,0.32,-6.97,0.17,-0.01,15.95,7.28,21.2,13.4,16.96,16.94,2.3,buy
PBR231208P00014500,2023-12-08,PBR,14.65,0.13,0.13,0.15,14.5,0.9,1.02,499.0,1104.0,0.41,0.13,14.65,0.9,1.02,0.41,14.85,14.19,12.18,36.57,0.04,11.16,-0.36,0.84,-15.14,0.41,-0.03,15.95,7.28,21.2,13.4,16.96,16.94,2.3,buy
PLUG231208P00003500,2023-12-08,PLUG,4.24,0.01,0.01,0.0,3.5,0.29,17.45,209.0,4421.0,1.13,0.01,4.24,0.29,17.45,1.13,5.73,7.72,9.01,50.17,-0.47,9.4,-0.01,0.07,-0.82,0.01,-0.0,17.89,3.42,25.0,3.5,9.01,6.75,2.6,hold
PLUG231208P00004000,2023-12-08,PLUG,4.24,0.08,0.08,0.09,4.0,2.04,5.66,3382.0,4324.0,1.2,0.08,4.24,2.04,5.66,1.2,5.73,7.72,9.01,50.17,-0.47,9.4,-0.24,0.83,-10.75,0.1,-0.01,17.89,3.42,25.0,3.5,9.01,6.75,2.6,hold
PSNY231208P00002000,2023-12-08,PSNY,2.14,0.02,0.01,0.03,2.0,0.5,6.54,13.0,93.0,0.91,0.01,2.14,0.5,6.54,0.91,2.33,2.99,3.44,48.19,-0.04,3.77,-0.15,1.61,-3.03,0.04,-0.0,6.27,1.99,9.0,1.6,3.87,3.0,2.8,hold
PTON231208P00005500,2023-12-08,PTON,5.9,0.05,0.05,0.06,5.5,0.92,6.78,511.0,2955.0,0.94,0.05,5.9,0.92,6.78,0.94,5.11,6.07,7.73,62.93,0.27,8.72,-0.15,0.56,-8.61,0.1,-0.0,16.98,4.3,20.0,3.0,7.15,6.0,2.9,hold
QS231208P00006000,2023-12-08,QS,6.8,0.01,0.01,0.03,6.0,0.17,11.76,66.0,1181.0,0.97,0.01,6.8,0.17,11.76,0.97,6.02,7.04,7.28,63.07,0.19,7.8,-0.04,0.17,-3.63,0.04,-0.0,13.31,5.09,10.0,2.0,6.28,7.0,3.3,hold
QS231208P00006500,2023-12-08,QS,6.8,0.08,0.06,0.08,6.5,0.93,4.41,153.0,716.0,0.76,0.06,6.8,0.93,4.41,0.76,6.02,7.04,7.28,63.07,0.19,7.8,-0.2,0.74,-9.8,0.14,-0.01,13.31,5.09,10.0,2.0,6.28,7.0,3.3,hold
RDFN231208P00007500,2023-12-08,RDFN,7.53,0.2,0.15,0.25,7.5,2.04,0.4,42.0,121.0,0.79,0.15,7.53,2.04,0.4,0.79,6.2,8.47,9.03,69.39,0.4,8.51,-0.46,0.9,-15.9,0.22,-0.02,17.01,3.78,10.0,4.0,6.43,6.38,3.1,hold
RIG231208P00006000,2023-12-08,RIG,6.24,0.03,0.02,0.03,6.0,0.33,3.85,84.0,3295.0,0.5,0.02,6.24,0.33,3.85,0.5,7.02,7.63,7.02,40.57,-0.18,6.63,-0.14,0.96,-4.69,0.1,-0.0,8.8,3.67,12.0,6.0,8.54,8.0,2.7,hold
RKT231208P00009000,2023-12-08,RKT,9.75,0.03,0.01,0.03,9.0,0.11,7.69,101.0,226.0,0.64,0.01,9.75,0.11,7.69,0.64,8.26,9.31,9.0,63.87,0.42,8.9,-0.04,0.2,-3.88,0.07,-0.0,11.8,6.64,11.0,6.0,8.69,9.0,3.1,hold
RKT231208P00009500,2023-12-08,RKT,9.75,0.1,0.07,0.11,9.5,0.74,2.56,55.0,2746.0,0.55,0.07,9.75,0.74,2.56,0.55,8.26,9.31,9.0,63.87,0.42,8.9,-0.25,0.81,-11.51,0.23,-0.01,11.8,6.64,11.0,6.0,8.69,9.0,3.1,hold
SFIX231208P00003000,2023-12-08,SFIX,3.87,0.05,0.04,0.05,3.0,1.35,22.48,4275.0,459.0,2.41,0.04,3.87,1.35,22.48,2.41,3.39,3.7,3.93,62.98,0.16,4.02,-0.06,0.18,-7.91,0.04,-0.0,5.6,2.77,4.0,2.5,3.52,3.5,3.1,hold
SFIX231208P00003500,2023-12-08,SFIX,3.87,0.17,0.16,0.17,3.5,4.79,9.56,944.0,622.0,2.38,0.16,3.87,4.79,9.56,2.38,3.39,3.7,3.93,62.98,0.16,4.02,-0.25,0.47,-19.91,0.09,-0.01,5.6,2.77,4.0,2.5,3.52,3.5,3.1,hold
SIRI231208P00004500,2023-12-08,SIRI,4.51,0.11,0.1,0.13,4.5,2.27,0.22,5265.0,26481.0,0.73,0.1,4.51,2.27,0.22,0.73,4.59,4.62,4.24,38.55,0.02,4.6,-0.47,1.62,-8.88,0.13,-0.01,7.73,3.38,7.0,3.5,4.84,4.65,3.2,hold
SNAP231208P00013000,2023-12-08,SNAP,14.6,0.01,0.01,0.02,13.0,0.08,10.96,560.0,2215.0,0.73,0.01,14.6,0.08,10.96,0.73,10.55,10.39,10.42,87.69,1.03,10.38,-0.02,0.05,-2.78,0.04,-0.0,14.6,7.91,16.0,7.0,10.28,10.0,3.0,hold
SNAP231208P00013500,2023-12-08,SNAP,14.6,0.03,0.02,0.03,13.5,0.15,7.53,2338.0,5422.0,0.59,0.02,14.6,0.15,7.53,0.59,10.55,10.39,10.42,87.69,1.03,10.38,-0.04,0.12,-4.57,0.08,-0.0,14.6,7.91,16.0,7.0,10.28,10.0,3.0,hold
SNAP231208P00014000,2023-12-08,SNAP,14.6,0.08,0.08,0.09,14.0,0.57,4.11,6517.0,4150.0,0.56,0.08,14.6,0.57,4.11,0.56,10.55,10.39,10.42,87.69,1.03,10.38,-0.15,0.39,-13.0,0.25,-0.01,14.6,7.91,16.0,7.0,10.28,10.0,3.0,hold
SOFI231208P00007000,2023-12-08,SOFI,7.99,0.01,0.01,0.02,7.0,0.14,12.39,2562.0,9368.0,0.92,0.01,7.99,0.14,12.39,0.92,7.5,8.2,7.38,59.51,0.06,7.16,-0.02,0.1,-2.83,0.03,-0.0,11.45,4.3,15.0,3.0,9.12,8.5,2.8,hold
SOFI231208P00007500,2023-12-08,SOFI,7.99,0.06,0.05,0.06,7.5,0.67,6.13,4794.0,8057.0,0.78,0.05,7.99,0.67,6.13,0.78,7.5,8.2,7.38,59.51,0.06,7.16,-0.13,0.46,-8.93,0.13,-0.01,11.45,4.3,15.0,3.0,9.12,8.5,2.8,hold
SPWR231208P00004500,2023-12-08,SPWR,4.97,0.03,0.02,0.05,4.5,0.45,9.46,38.0,2109.0,1.06,0.02,4.97,0.45,9.46,1.06,4.84,6.49,9.36,59.6,-0.02,10.68,-0.1,0.44,-6.08,0.06,-0.0,23.53,3.79,10.0,2.5,4.92,5.0,3.1,hold
TAL231208P00010000,2023-12-08,TAL,11.27,0.1,0.01,0.33,10.0,0.1,11.27,2.0,15.0,1.57,0.01,11.27,0.1,11.27,1.57,9.64,8.32,7.27,65.41,0.71,7.46,-0.14,0.17,-26.39,0.18,-0.01,12.53,5.25,12.6,2.9,9.96,11.0,2.2,buy
TAL231208P00010500,2023-12-08,TAL,11.27,0.1,0.04,0.08,10.5,0.38,6.83,2.0,256.0,0.77,0.04,11.27,0.38,6.83,0.77,9.64,8.32,7.27,65.41,0.71,7.46,-0.1,0.28,-10.26,0.15,-0.01,12.53,5.25,12.6,2.9,9.96,11.0,2.2,buy
TAL231208P00011000,2023-12-08,TAL,11.27,0.18,0.15,0.19,11.0,1.38,2.4,78.0,80.0,0.71,0.15,11.27,1.38,2.4,0.71,9.64,8.32,7.27,65.41,0.71,7.46,-0.31,0.6,-19.0,0.3,-0.02,12.53,5.25,12.6,2.9,9.96,11.0,2.2,buy
TEVA231208P00010000,2023-12-08,TEVA,10.06,0.09,0.03,0.12,10.0,0.3,0.6,8.0,350.0,0.41,0.03,10.06,0.3,0.6,0.41,9.11,9.3,8.86,72.91,0.28,8.92,-0.41,1.29,-10.72,0.29,-0.02,11.37,7.2,14.0,8.0,10.67,10.0,2.7,hold
UAA231208P00008000,2023-12-08,UAA,8.25,0.05,0.03,0.05,8.0,0.38,3.03,5.0,149.0,0.48,0.03,8.25,0.38,3.03,0.48,7.23,7.42,7.88,65.02,0.32,8.57,-0.19,0.92,-7.31,0.17,-0.01,12.78,6.4,15.0,8.0,9.55,9.0,2.4,buy
UEC231208P00006500,2023-12-08,UEC,6.65,0.13,0.05,0.1,6.5,0.78,2.26,34.0,135.0,0.58,0.05,6.65,0.78,2.26,0.58,5.71,4.91,3.97,66.11,0.27,4.04,-0.29,1.2,-8.86,0.17,-0.01,6.75,2.37,8.25,6.6,7.07,6.9,1.9,buy
